Ensembl_ID	ENSG00000242268.2	ENSG00000270112.3	ENSG00000167578.15	ENSG00000273842.1	ENSG00000078237.5	ENSG00000146083.10	ENSG00000225275.4	ENSG00000158486.12	ENSG00000198242.12	ENSG00000259883.1	ENSG00000231981.3	ENSG00000269475.2	ENSG00000201788.1	ENSG00000134108.11	ENSG00000263089.1	ENSG00000172137.17	ENSG00000167700.7	ENSG00000234943.2	ENSG00000240423.1	ENSG00000060642.9	ENSG00000271616.1	ENSG00000234881.1	ENSG00000236040.1	ENSG00000231105.1	ENSG00000243044.1	ENSG00000182141.8	ENSG00000269416.4	ENSG00000264981.1	ENSG00000275265.1	ENSG00000185105.4	ENSG00000233540.1	ENSG00000102174.8	ENSG00000271647.1	ENSG00000166391.13	ENSG00000270469.1	ENSG00000070087.12	ENSG00000262950.1	ENSG00000255420.1	ENSG00000280038.1	ENSG00000266261.1	ENSG00000153561.11	ENSG00000269148.1	ENSG00000274458.1	ENSG00000273406.1	ENSG00000179262.8	ENSG00000214198.6	ENSG00000278099.1	ENSG00000166368.2	ENSG00000206072.11	ENSG00000234900.1	ENSG00000258630.1	ENSG00000127511.8	ENSG00000220993.1	ENSG00000225269.2	ENSG00000214062.5	ENSG00000095587.8	ENSG00000274219.1	ENSG00000230100.1	ENSG00000064601.15	ENSG00000227766.1	ENSG00000008517.15	ENSG00000215246.5	ENSG00000266644.1	ENSG00000236893.1	ENSG00000254465.1	ENSG00000088179.7	ENSG00000070081.14	ENSG00000275479.1	ENSG00000166634.5	ENSG00000261789.1	ENSG00000254092.1	ENSG00000197421.8	ENSG00000161558.9	ENSG00000276644.3	ENSG00000260900.1	ENSG00000278732.1	ENSG00000196167.8	ENSG00000268465.1	ENSG00000264438.2	ENSG00000204113.6	ENSG00000207000.1	ENSG00000254131.1	ENSG00000118972.1	ENSG00000264104.1	ENSG00000179833.4	ENSG00000264576.1	ENSG00000064225.11	ENSG00000267108.1	ENSG00000221372.1	ENSGR0000264510.4	ENSG00000057294.12	ENSG00000227535.2	ENSG00000252628.2	ENSG00000166007.11	ENSG00000273055.1	ENSG00000242041.1	ENSG00000278923.1	ENSG00000167768.4	ENSG00000280159.1	ENSG00000235240.1
TCGA-EJ-5505-01A	0.0	6.189962965770498	15.858903908804525	0.0	15.529325933191972	17.47526520007899	0.0	10.577466061031124	21.962696772341616	8.903576475324495	0.0	0.0	0.0	19.241368177248923	10.335423367790453	13.9071261615723	18.69040900915125	0.0	0.0	17.87209167139252	0.0	0.0	0.0	7.225279246532555	0.0	16.189186470911277	9.806259595584308	0.0	0.0	8.816045665983184	0.0	11.551823250194062	0.0	16.030691717583522	10.413610340190363	19.809382169818488	9.097179686326957	0.0	0.0	10.334918348268612	18.524477557027236	11.499180005521454	0.0	0.0	19.45657120994168	10.768825994114907	0.0	0.0	12.16327532876473	8.984224405048076	10.759812710517176	16.82210065967622	0.0	0.0	8.994133983446886	11.381570378335637	0.0	0.0	18.16032827780142	11.343408194203716	15.3510689326363	10.426935442801229	10.94755803581053	0.0	0.0	15.5679024196934	18.73832717152728	16.10929762100672	0.0	0.0	9.788876104695897	7.079787334829969	14.309944803637483	16.194713022175648	0.0	10.3527002376146	17.643851661325403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.90458657128453	0.0	14.332263907858032	0.0	0.0	0.0	17.002656116707122	0.0	0.0	0.0	12.663089540637738	0.0	0.0	13.068526024135988	8.248565096739734	0.0
TCGA-ZG-A9L6-01A	9.483897051926236	0.0	15.683127800419378	0.0	16.060696862011532	17.490495443288342	0.0	8.410906578931911	22.109220285674496	12.363242831997155	0.0	9.056910431986978	0.0	19.37433322677371	10.797525316951887	13.389752740381576	18.776991123220917	0.0	0.0	17.279752706190095	0.0	0.0	0.0	10.84872101133271	0.0	15.672976613951578	8.85513676890268	0.0	0.0	7.697254996858318	10.325324308078304	11.171917534351616	0.0	14.610972498825634	0.0	19.79501591723267	11.879262364950645	0.0	0.0	11.381712377857186	17.729685232426657	12.698272394494596	0.0	0.0	19.63295457047725	10.572391780840029	0.0	0.0	15.71285865218374	0.0	10.80715652030525	17.48340833556705	0.0	0.0	11.776049668710224	13.069486978955394	0.0	0.0	18.201488333924203	17.56015601628569	16.710802873278972	11.510278305231529	11.824670807396275	0.0	0.0	15.247944474298114	17.06895737935873	15.614782872458212	0.0	8.259566639672952	0.0	8.535384888350917	15.071442069067906	16.824553133982654	0.0	10.8148058325982	17.848564534162005	0.0	0.0	0.0	0.0	0.0	8.981997414912742	0.0	17.15377941040123	0.0	15.16809973197863	14.1462806790929	0.0	0.0	15.835164449715812	0.0	0.0	0.0	13.250954155705196	0.0	0.0	9.674551749945111	9.707947896115895	0.0
TCGA-HC-A8D0-01A	9.737370842430332	6.898416618069246	15.673892418867702	0.0	14.884042071472397	18.248072302992977	0.0	9.14843176532124	23.08336755566775	11.617227146811633	0.0	0.0	0.0	18.80623903222132	8.148715286405821	12.721633282345923	19.022717171718096	12.234196144348733	8.906583525396144	17.61684332812638	0.0	0.0	9.25117163582042	11.739589206862354	0.0	15.521139725667704	9.108432970352952	0.0	10.3787161562835	9.94554949696244	0.0	11.474507625919022	0.0	14.430758415738527	10.54476289600115	19.19514347618475	0.0	0.0	0.0	11.6354240041869	17.739636649065204	11.21549538288098	0.0	0.0	19.90175654878916	11.863104879924457	11.841425864547256	0.0	14.366901380195998	9.699316282046382	10.797926133654263	17.61068170292966	0.0	0.0	10.708371503871758	10.6078357313177	0.0	0.0	18.39729161032025	17.22325795783926	17.669284383916136	11.83436694276024	0.0	8.950530629148904	0.0	14.974415379455872	17.656477239757628	15.781115748459484	0.0	0.0	13.5035755349596	7.791815201723883	15.04019880780536	16.817190054265083	0.0	0.0	19.26373101026891	0.0	0.0	8.951705480430322	0.0	0.0	0.0	0.0	16.760870178129363	0.0	14.453219842809975	0.0	0.0	0.0	16.650601975279407	0.0	0.0	0.0	13.919735598924149	0.0	0.0	7.932501690141673	8.96291474018641	0.0
TCGA-XK-AAK1-01A	0.0	0.0	16.83688457286815	0.0	15.278849464695682	17.02577876558155	0.0	8.208457158206022	22.892247714792237	10.48281558327037	0.0	0.0	0.0	19.15319921472361	9.01146017437958	13.862190234276904	20.619132876402382	0.0	0.0	18.705188514879573	0.0	0.0	0.0	10.382894930427463	0.0	15.532173707450085	8.390200048880253	0.0	0.0	10.809928777337069	0.0	11.133231338447905	0.0	14.964263308316784	0.0	19.997069918965963	0.0	0.0	0.0	0.0	17.2768737116694	11.495465055168674	0.0	0.0	20.101553523322877	10.44339103041979	0.0	0.0	13.578315030528191	0.0	12.662377345515289	17.31162717267237	0.0	0.0	0.0	13.346557813210918	0.0	0.0	18.196039788029488	11.117393742057384	16.35524058587692	0.0	12.528317834446508	0.0	0.0	14.503351473526855	19.582245977774885	17.453492318870843	0.0	0.0	12.368763341558124	0.0	15.064226855215956	16.204088358131298	0.0	0.0	16.29756301346497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.390931743184574	0.0	12.81176128482284	12.680296506031253	0.0	0.0	15.625838632795205	0.0	0.0	0.0	13.592153483766351	0.0	0.0	8.794875284226434	0.0	0.0
TCGA-VN-A88I-01A	9.70034324903391	6.8616597738614	16.49420446833241	0.0	15.608546908402984	17.79116616013404	0.0	8.764214233111957	22.004606959994465	10.580638627594883	9.662289864498588	0.0	0.0	18.99186388513231	10.692385797902816	14.862733754148746	18.69023128650623	10.612784192039449	9.868047193225664	17.35051283007954	0.0	0.0	0.0	11.48020832446424	0.0	14.998654701541197	9.07142941542617	0.0	10.34167277453096	13.26471269555958	10.541894716796486	11.73991358881822	0.0	11.54801607542887	11.507220904950142	19.751608147942363	0.0	0.0	0.0	12.33514368949822	17.514939170235447	11.91515616668084	0.0	0.0	19.910192829457632	10.348705468436588	0.0	0.0	13.794369233403629	9.662289864498588	11.246064894462789	17.851727001876764	0.0	0.0	9.672206769939889	11.535560018849749	0.0	11.094127797262614	18.77709115348803	13.121685858328329	18.310282219518044	13.40471584548704	12.041342589938854	0.0	0.0	14.810237276605994	17.84434603518994	16.44447443636203	0.0	0.0	10.467399080809525	0.0	15.37731370323514	16.473201949365528	0.0	0.0	17.91091753927508	0.0	0.0	0.0	0.0	0.0	0.0	7.897895380326438	16.843991820213322	0.0	13.98661489996022	16.170302858775344	0.0	0.0	15.880185945160564	0.0	0.0	0.0	13.970123658099492	0.0	0.0	14.83207649435613	9.924434525438896	0.0
TCGA-V1-A9OY-01A	0.0	0.0	15.976905473429728	0.0	15.572057401922898	18.055644150017756	0.0	8.036854690691513	22.44069411304177	11.631969061925153	0.0	0.0	0.0	18.938002623518553	9.64559849246909	11.166938257257794	19.51619275646565	11.34230841446374	9.598255107141744	17.737806974099026	0.0	0.0	0.0	11.32563275211245	0.0	15.65866379262109	0.0	0.0	11.65586031445289	11.096994578984754	0.0	11.960730139888508	0.0	14.260219795600712	11.23721302809832	19.767151954150386	0.0	0.0	0.0	10.743668094136718	17.895932317059664	13.32288534661776	0.0	0.0	20.012340158119077	10.914737531609871	0.0	0.0	17.717316010610705	9.39254649393948	13.075063734158194	17.374316860063225	0.0	0.0	10.40139458168363	13.11702778554326	0.0	0.0	18.33248003641832	18.964117014903717	17.56174910957638	11.04204784937465	12.093148686483865	0.0	0.0	14.763876694607488	18.97791696889386	16.643847708759925	8.584264992509384	0.0	10.19749895408351	9.065765821261898	14.959408573592755	16.467283430207463	0.0	0.0	17.785913500658296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.90064498783727	0.0	14.476608008757372	12.508103633974564	0.0	0.0	16.256489234180712	0.0	0.0	0.0	14.256390903109477	0.0	0.0	11.320406578797517	7.659990143016637	0.0
TCGA-KK-A8IA-01A	0.0	6.150416940861312	15.566185385066872	0.0	15.734796166783326	17.846714606458395	0.0	10.441241378982197	22.11018711696508	10.861233645167328	0.0	0.0	0.0	19.54929089664618	8.975144884913872	11.302715924746575	19.889534902691643	0.0	8.152343883867127	17.784028085827956	0.0	0.0	0.0	10.635840978382603	0.0	15.713329704470992	7.771163772144456	0.0	11.20689514520916	12.275529579047571	0.0	10.940817130152876	0.0	14.129545842322376	9.789118374128956	20.509704701901526	0.0	0.0	8.330550575692497	11.294272561873637	18.22096812316577	12.96125985081573	0.0	0.0	19.917796322439987	10.522426285571498	0.0	0.0	19.48842149925581	10.52721036703842	11.041490225160798	17.480179434527066	0.0	0.0	11.536647239562877	13.771269714236354	0.0	0.0	18.89715944777799	14.22339089554167	15.903822719200724	7.692336452815909	10.90747570128766	0.0	0.0	15.238592624937318	19.687847656091144	16.154082969173697	0.0	0.0	0.0	9.35311594289706	14.811714789689963	15.600236527221048	0.0	0.0	19.73049354762897	0.0	0.0	0.0	0.0	10.737644584159092	0.0	0.0	17.08381300824517	0.0	15.21640160858983	14.866130731492897	0.0	0.0	16.142796244546993	0.0	0.0	7.583604362006813	13.970777325157332	0.0	0.0	10.630616056130217	9.790303460606872	0.0
TCGA-CH-5790-01A	0.0	6.800754559266384	15.418655795004014	0.0	15.28857619039136	18.138112111578227	0.0	10.526396585150176	22.102182106934674	9.520217443440794	0.0	0.0	0.0	19.0946511055752	10.630978857635329	11.545383473353848	18.542358400755127	0.0	0.0	17.83742487732411	11.092690889970465	0.0	0.0	10.156488571772664	0.0	16.734757985774298	7.430724096489144	0.0	11.864465153086536	11.8459611829387	0.0	11.598341869309795	0.0	15.446951012255555	11.445797595147724	19.544902953330592	0.0	9.500729187172016	0.0	9.952947809602373	18.771940568535907	11.53189689850628	0.0	0.0	19.55606361247913	10.386767438175369	0.0	0.0	8.845192237115478	9.600922456806837	11.699033080862172	17.072731776453654	0.0	0.0	10.609915978294048	11.701472828004505	0.0	0.0	18.486823248721336	16.118993069606773	16.10840919390596	8.93105914919959	0.0	0.0	7.968677022419673	15.586980206932692	17.519385716099684	14.85254743439347	0.0	0.0	11.405466793241102	9.68852310612346	13.983148548072318	17.654824783340366	0.0	0.0	18.097066398958113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.59433823695238	0.0	14.373163956328805	0.0	0.0	0.0	16.46002226994814	0.0	0.0	0.0	13.40622144095207	0.0	0.0	9.415144866639745	8.864602586565601	0.0
TCGA-EJ-5519-01A	0.0	0.0	15.872681231469072	0.0	14.560345677389591	18.053946691311193	9.983925245273664	8.427350497078955	21.85416857521637	10.854171850872294	0.0	0.0	0.0	18.94477282850594	10.759591239485635	10.389264615326136	19.66824896756563	0.0	0.0	17.78264080228645	10.10655210900317	0.0	0.0	9.43355904586963	0.0	15.933250035420777	8.026058493546657	0.0	10.87805776731515	11.444262355299166	0.0	10.652627788604102	0.0	13.482150208793051	10.04482205281822	21.098532736422605	8.728850847578656	0.0	0.0	8.967588955768003	18.415892568576673	11.545105261414324	0.0	0.0	19.665784261006845	11.16506543474516	0.0	0.0	13.450340170314153	8.615958077568457	9.392032691412563	17.39268989767698	0.0	0.0	8.62586197400271	15.760492920341102	0.0	0.0	18.49376632876531	16.824625231006834	15.47135438963179	10.264414756588735	11.315262577670138	0.0	0.0	15.42395337703438	19.30102092753011	16.088124603690705	7.808827527078967	0.0	11.003812906147164	0.0	14.44832543225644	17.203005120815337	0.0	0.0	19.504194627959997	0.0	0.0	0.0	0.0	10.99347601646309	0.0	0.0	16.285797946027706	0.0	12.870180643164009	10.730583130425998	0.0	0.0	16.026598997702177	0.0	0.0	0.0	12.004614986299924	0.0	0.0	6.853807742318778	9.199101766916357	0.0
TCGA-H9-7775-01A	0.0	0.0	15.768581458124988	0.0	15.823805453382038	17.70346613418851	0.0	8.115375737201262	22.004892340398985	8.806662397961414	0.0	0.0	0.0	18.44398620163927	10.854633163694634	11.74804361139143	18.580824451947837	0.0	0.0	17.854624635277293	0.0	0.0	0.0	9.121074711212868	0.0	15.978620654206251	6.721261969184175	0.0	9.566205610242442	9.454740315578425	0.0	10.339855178176448	0.0	11.99402103481306	0.0	19.63434009945193	0.0	0.0	0.0	10.822436485927856	18.1327746175386	11.624407124949624	0.0	9.501198414345955	19.64508138471009	10.894025794963824	0.0	0.0	13.323775384227762	8.88729892366476	13.15386797117288	16.837555944378835	0.0	0.0	11.21671252094664	12.33227977290678	0.0	0.0	18.764214391060676	16.000638518257503	15.890797910860508	12.329043645141017	10.850485056214412	8.139406282139367	0.0	15.409000351212487	19.297866225841663	13.967849284937024	0.0	0.0	0.0	11.364823800975222	14.928388131273136	17.319031498088645	0.0	0.0	18.951245957790945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.904925056326974	0.0	16.04595514534005	12.002058335765614	0.0	0.0	16.725805106915832	0.0	0.0	0.0	12.913853498454518	0.0	0.0	9.922095967780454	8.73504212697312	0.0
